type;size;time;cluster
sequencial;1000;10.4899353981018;1
sequencial;2000;20.3223400115967;1
sequencial;3000;31.5084371566772;1
sequencial;4000;42.0064141750336;1
sequencial;5000;52.0719466209412;1
sequencial;6000;63.2533764839172;1
sequencial;7000;74.3393623828888;1
sequencial;8000;84.5918073654175;1
sequencial;9000;94.6298995018005;1
sequencial;10000;105.038092851639;1
parallel;1000;38.5925719738007;2
parallel;2000;75.3695180416107;2
parallel;3000;108.773641109467;2
parallel;4000;130.820434570312;2
parallel;5000;162.931410312653;2
parallel;6000;184.611685276031;2
parallel;7000;199.611839771271;2
parallel;8000;193.641614198685;2
parallel;9000;176.850675106049;2
parallel;10000;193.62806725502;2
parallel;1000;21.6148543357849;4
parallel;2000;43.5059721469879;4
parallel;3000;65.1259171962738;4
parallel;4000;88.103443145752;4
parallel;5000;110.110951662064;4
parallel;6000;131.99644446373;4
parallel;7000;155.855875968933;4
parallel;8000;179.118987798691;4
parallel;9000;202.522691726685;4
parallel;10000;219.969020605087;4
parallel;1000;23.0414955615997;6
parallel;2000;46.3578898906708;6
parallel;3000;71.486065864563;6
parallel;4000;95.1488332748413;6
parallel;5000;118.581768989563;6
parallel;6000;187.567794799805;6
parallel;7000;242.111588716507;6
parallel;8000;270.769918680191;6
parallel;9000;305.925359487534;6
parallel;10000;343.597535133362;6
